category,type,title,imageUrl,url,status
Guitars,subheroes,Gibson Studio Deluxe III,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-guitar2.jpg,http://www.guitarcenter.com/Gibson-Les-Paul-Studio-Deluxe-III-Electric-Guitar-111260683-i4287388.gc,enabled
Guitars,subheroes,ESP LTD Electrics,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-guitar3.jpg,http://www.guitarcenter.com/ESP-LTD-Collection-g6715t1.gc ,enabled
Guitars,subheroes,Martin Ed Sheeran X Signature ,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-guitar4.jpg,http://www.guitarcenter.com/Martin-X-Series-Ed-Sheeran-X-Signature-Edition-Little-Martin-Acoustic-Electric-Guitar-111254355-i4199796.gc,enabled
Guitars,subheroes,Alvarez Grateful Dead 50th Anniversary Acoustic Guitar,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-guitar5.jpg,http://www.guitarcenter.com/Alvarez-Grateful-Dead-50th-Anniversary-Acoustic-Guitar-110742962-i3945401.gc,enabled
Guitars,subheroes,PRS SE Alex Lifeson Thinline Acoustic/Electric,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-guitar6.jpg,"http://www.guitarcenter.com/PRS-SE-Alex-Lifeson-Thinline-Acoustic-Electric-Guitar-111022752-i4162020.gc",enabled
Keyboards,sliders,New Casio CGP-700 Digital Piano,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16507-GC-Casio-CGP700-Web-Graphics-775x202-category-page-slider.jpg,http://www.guitarcenter.com/Casio-CGP700BK-Digital-Compact-Grand-Piano-111270260-i4321776.gc,enabled
Keyboards,sliders,New reface Mobile Mini Keyboards,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-keyboards1.jpg,http://www.guitarcenter.com/New-Reface-Mobile-Mini-Keyboards-g6675t1.gc,enabled
Keyboards,sliders,New Casio CGP-700 Digital Piano,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-keyboards2.jpg,http://www.guitarcenter.com/Casio-CGP700BK-Digital-Compact-Grand-Piano-111270260-i4321776.gc,duplicate
Keyboards,sliders,New Novation LaunchPad and LaunchPad Pro,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/slides/16687-GC-August-Merch-Selects-Web-Graphics-slides-keyboards3.jpg,http://www.guitarcenter.com/Novation-LaunchPad-and-LaunchPad-Pro-g6676t1.gc,enabled
Keyboards,subheroes,Save on CDP-130 Digital Piano,http://images.guitarcenter.com/Content/GC/promo/2015/08-Aug/category-sliders/subheroes/16687-GC-August-Merch-Selects-Web-Graphics-subheroes-keyboards1.jpg,http://www.guitarcenter.com/Casio-CDP-130-Digital-Piano-110303088-i3725926.gc,enabled
